"word","n"
"apply family",7
"balance diet",7
"blood clots",7
"breast tenderness",7
"cramps pain",7
"discover 102",7
"experience abdominal",7
"experience cramps",7
"experience painful",7
"experiencing heavy",7
"fallopian tubes",7
"feeding mother",7
"feel abdominal",7
"feel tired",7
"fill pain",7
"finger fucking",7
"foul smell",7
"fungal infections",7
"genital mutilation",7
"girl child",7
"girl pregnant",7
"girls cry",7
"irregular cycle",7
"jadelle implant",7
"lady starts",7
"lost weight",7
"male contraceptives",7
"male family",7
"masturbation affect",7
"normal person",7
"noro plant",7
"one's period",7
"option 2",7
"p2 pill",7
"periods irregular",7
"planning 2",7
"postrate cancer",7
"prevent uti",7
"previous question",7
"reduce cramps",7
"regular miscarriages",7
"regular periods",7
"safest family",7
"sex yesterday",7
"sexual activities",7
"sexual intercorse",7
"sexual intercose",7
"sexually inactive",7
"short calls",7
"stis diseases",7
"stomach cramps",7
"tested negative",7
"upangaji uzazi",7
"vaginal infection",7
"wet dreams",7
"24 hrs",6
"3 times",6
"3month injection",6
"ababy boy",6
"abnormal child",6
"avoiding pregnancy",6
"blood coming",6
"blood test",6
"breaking virginity",6
"breast pain",6
"bungoma county",6
"cancer spread",6
"circumcision reduces",6
"coil method",6
"common sti",6
"condom bursts",6
"condom prevent",6
"condoms burst",6
"condoms prevent",6
"contraceptives methods",6
"control birth",6
"date 8",6
"dear customer",6
"deep kiss",6
"disease called",6
"district hospital",6
"ejaculation occurs",6
"experiencing irregular",6
"fallopian tube",6
"family method",6
"family planng",6
"female genital",6
"female partner",6
"fluid coming",6
"fluids coming",6
"health benefits",6
"health care",6
"health issue",6
"hiv career",6
"hiv infected",6
"huawei y3",6
"human body",6
"increase fertility",6
"irregular menstrual",6
"irregular menstruation",6
"kibabii university",6
"ladies scream",6
"love issues",6
"menstrual circle",6
"menstruation periods",6
"missed period",6
"morning pill",6
"negative person",6
"negative side",6
"ovarian cysts",6
"painful menses",6
"planing pills",6
"planning drugs",6
"planning implant",6
"planning options",6
"pregnancy prevention",6
"pregnant test",6
"prevent prostrate",6
"prevention measures",6
"productive health",6
"safe dates",6
"safe dayz",6
"safe method",6
"seek medical",6
"severe pain",6
"severe stomach",6
"sex duration",6
"sex everyday",6
"sex safe",6
"sexual fluids",6
"sexual partner",6
"sexual transmited",6
"sexually satisfied",6
"short time",6
"siaya county",6
"specific questions",6
"sperm production",6
"started bleeding",6
"taking drugs",6
"thick discharge",6
"toria ronique",6
"unplanned pregnancy",6
"vaginal dryness",6
"vaginal infections",6
"vaginal yeast",6
"weight loss",6
"white substance",6
"white thick",6
"women bleed",6
"women condoms",6
"womens health",6
"y3 lite",6
"100 percent",5
"2 pills",5
"2 start",5
"20 yrs",5
"3 4",5
"3 kids",5
"abdomen pain",5
"abdorminal pain",5
"adding weight",5
"affect one's",5
"affect period",5
"amniotic fluid",5
"attending periods",5
"bacterial infection",5
"bad oduor",5
"black spots",5
"bleeding heavily",5
"blood stain",5
"boost fertility",5
"cancer curable",5
"cancer transmitted",5
"circumcision prevent",5
"condoms effective",5
"condoms fail",5
"considered safe",5
"contraceptive injection",5
"control effective",5
"dark spots",5
"debt balance",5
"delay ejaculation",5
"detect pregnancy",5
"drinking water",5
"dual protection",5
"due date",5
"effect 2",5
"effective contraceptive",5
"everyday pill",5
"expiry date",5
"famili planing",5
"familly planing",5
"frequent sex",5
"friend told",5
"gaining weight",5
"girlfriend's safe",5
"girls feel",5
"health status",5
"health wise",5
"highway medical",5
"hiv curable",5
"hiv viruses",5
"hormonal contraceptive",5
"hormonal method",5
"human health",5
"iannamai93 gmail",5
"implant family",5
"injectable method",5
"itchy vagina",5
"jahazi balance",5
"jakadala real",5
"kenyatta university",5
"khs 200",5
"lung cancer",5
"male condom",5
"maximum period",5
"medical facility",5
"medical professional",5
"miezi tatu",5
"mine told",5
"mini pill",5
"normal flow",5
"p2 affect",5
"pancreatic cancer",5
"partners safe",5
"penile cancer",5
"people bleed",5
"periods stop",5
"periods time",5
"person infected",5
"person suffering",5
"pills effective",5
"pills p2",5
"plan family",5
"planing injection",5
"planning bills",5
"planning services",5
"pregnancy pills",5
"pregnancy start",5
"prevent cancer",5
"prevent sexually",5
"prevents hiv",5
"prolonged periods",5
"protect pregnancy",5
"questions related",5
"receiving periods",5
"reduce pain",5
"reduce sexual",5
